  id   | runid |                                                                          fov                                                                          |           target            
-------+-------+-------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------
  6520 | 68537 | ((29.8422901674112,21.9183847866756),(27.573144368406,21.8925512773494),(27.5131702304977,24.7030836020042),(29.8289197170049,24.7274364330441))      | Fermi_GMB_GND_POS_564946193
  6524 | 68537 | ((33.7039422645799,21.9342063147205),(31.4474463985709,21.9653223179355),(31.4693378895986,24.755408725983),(33.7732737136861,24.7236065703129))      | Fermi_GMB_GND_POS_564946193
  7241 | 68653 | ((31.8453123790371,22.0094081277073),(29.5843277973704,21.9952433078562),(29.5390588085658,24.7894202386525),(31.8481016712595,24.8042036077165))     | Fermi_GMB_GND_POS_564946193
  6531 | 68537 | ((31.8295046218486,21.9793938257857),(29.5695216455521,21.9708209457474),(29.5323690834759,24.765008942172),(31.8406760315515,24.7738675813662))      | Fermi_GMB_GND_POS_564946193
  6547 | 68801 | ((49.8958667017192,-8.3164427885184),(47.7776625436972,-8.33476052171732),(47.7580798803026,-5.5395765243832),(49.8638508757553,-5.52117851689735))   | Fermi_GMB_GND_POS_564946193
  6548 | 68654 | ((33.7342365070122,21.7917319070068),(31.4790599423359,21.8319819655083),(31.5146152313057,24.6231143481146),(33.8160055650793,24.5814732710434))     | Fermi_GMB_GND_POS_564946193
  6959 | 68650 | ((3.66636101111232,39.8876299114103),(0.935217816694075,39.8857249124507),(0.871965885752909,42.6799163375885),(3.72295031236307,42.6820131744991))   | Fermi_GMB_GND_POS_564993306
  7267 | 68654 | ((31.84520568916,22.0086283159491),(29.5845436438558,21.9945668501357),(29.5393611441769,24.788868890333),(31.8481590364247,24.8035618592001))        | Fermi_GMB_GND_POS_564946193
  6559 | 68647 | ((5.93955955354513,39.8135753829261),(3.21382452518399,39.8804733567291),(3.27612206204818,42.6711599959648),(6.11975259711336,42.6009476372422))     | Fermi_GMB_GND_POS_564993306
  7001 | 68651 | ((1.26401078130326,39.8402537626218),(358.522160862934,39.79484893962),(358.364123905889,42.6127587464019),(1.23481652789684,42.6504871551412))       | Fermi_GMB_GND_POS_564993306
  7035 | 68651 | ((5.93874233923615,39.8174453294081),(3.21275499405432,39.8835930458751),(3.27425295106731,42.6741309785152),(6.11815935088831,42.6046008041302))     | Fermi_GMB_GND_POS_564993306
  6575 | 68801 | ((48.064574801397,-8.39866841475003),(45.9348872590709,-8.40322239914884),(45.9367787994729,-5.59197200716499),(48.0516664830241,-5.58810946681007))  | Fermi_GMB_GND_POS_564946193
  6642 | 68647 | ((3.66760198222032,39.8889759308759),(0.936440791183473,39.8867221600993),(0.872672533610017,42.6809047236983),(3.72370685803465,42.6833587975029))   | Fermi_GMB_GND_POS_564993306
  6616 | 68802 | ((49.8958268660551,-8.31698948951897),(47.7776611073904,-8.33507212009984),(47.758423039669,-5.53989040180982),(49.8639513008911,-5.52160471787096))  | Fermi_GMB_GND_POS_564946193
